frame_number,timestamp,left_lower_arm,left_lower_leg,left_upper_arm,left_upper_leg,right_lower_arm,right_lower_leg,right_upper_arm,right_upper_leg
1,2026-01-07 18:44:58.440,29.37,,57.65,113.25,25.18,,25.56,51.30
2,2026-01-07 18:44:58.727,29.37,,57.65,113.25,25.18,,25.56,51.30
3,2026-01-07 18:44:58.942,29.37,,57.65,113.25,25.18,,25.56,51.30
4,2026-01-07 18:44:59.134,29.37,,57.65,113.25,25.18,,25.56,51.30
5,2026-01-07 18:44:59.326,29.37,,57.65,113.25,25.18,,25.56,51.30
6,2026-01-07 18:44:59.522,29.37,,57.65,113.25,25.18,,25.56,51.30
7,2026-01-07 18:44:59.715,29.37,,57.65,113.25,25.18,,25.56,50.34
8,2026-01-07 18:44:59.908,29.37,,57.65,60.11,25.18,,25.56,34.81
9,2026-01-07 18:45:00.102,20.98,,57.65,60.11,14.69,,14.91,34.81
10,2026-01-07 18:45:00.309,15.34,,31.14,43.28,14.69,,14.91,34.81
11,2026-01-07 18:45:00.502,15.34,,31.14,43.28,14.69,,14.91,34.81
12,2026-01-07 18:45:00.696,15.34,,31.14,43.28,14.69,,14.91,34.81
13,2026-01-07 18:45:00.897,20.67,,30.69,51.40,17.32,,21.12,39.96
14,2026-01-07 18:45:01.100,20.67,,30.69,51.40,17.32,,21.12,39.96
15,2026-01-07 18:45:01.294,20.67,,30.69,51.40,17.32,,21.12,39.96
16,2026-01-07 18:45:01.485,20.67,,30.69,51.40,17.32,,21.12,39.96
17,2026-01-07 18:45:01.684,20.67,,30.69,51.40,17.32,,21.12,39.96
18,2026-01-07 18:45:01.876,20.67,,30.69,51.40,17.32,,21.12,39.96
19,2026-01-07 18:45:02.069,20.67,,30.69,51.40,17.32,,21.12,39.96
20,2026-01-07 18:45:02.262,20.67,,30.69,51.40,17.32,,21.12,39.96
21,2026-01-07 18:45:02.460,20.67,,30.69,51.40,17.32,,21.12,39.96
22,2026-01-07 18:45:02.653,20.67,,30.69,51.40,17.32,,21.12,39.96
23,2026-01-07 18:45:02.846,20.67,,30.69,51.40,17.32,,21.12,39.96
24,2026-01-07 18:45:03.042,20.67,,30.69,51.40,17.32,,21.12,39.96
25,2026-01-07 18:45:03.238,27.52,,28.95,62.68,18.95,,21.88,45.42
26,2026-01-07 18:45:03.438,27.52,,28.95,62.68,18.95,,21.88,45.42
27,2026-01-07 18:45:03.635,27.52,,28.95,62.68,18.95,,21.88,45.42
28,2026-01-07 18:45:03.830,27.52,,28.95,62.68,18.95,,21.88,45.42
29,2026-01-07 18:45:04.039,27.52,,28.95,62.68,18.95,,21.88,45.42
30,2026-01-07 18:45:04.236,27.52,,28.95,62.68,18.95,,21.88,45.42
31,2026-01-07 18:45:04.434,27.05,,19.39,50.04,16.88,,20.66,43.95
32,2026-01-07 18:45:04.636,27.05,,19.39,50.04,16.88,,20.66,43.95
33,2026-01-07 18:45:04.827,27.05,,19.39,50.04,16.88,,20.66,43.95
34,2026-01-07 18:45:05.022,27.05,,19.39,50.04,16.88,,20.66,43.95
35,2026-01-07 18:45:05.236,27.05,,19.39,50.04,16.88,,20.66,43.95
36,2026-01-07 18:45:05.452,27.05,,19.39,50.04,16.88,,20.66,43.95
