frame_number,timestamp,left_lower_arm,left_lower_leg,left_upper_arm,left_upper_leg,right_lower_arm,right_lower_leg,right_upper_arm,right_upper_leg
37,2026-01-07 18:45:05.652,28.53,,24.14,53.30,18.88,,21.44,46.06
38,2026-01-07 18:45:05.846,28.53,,24.14,64.88,18.88,,21.44,60.17
39,2026-01-07 18:45:06.042,32.52,,24.14,61.25,23.77,,27.17,49.72
40,2026-01-07 18:45:06.262,42.01,,30.64,74.16,23.77,,27.17,49.72
41,2026-01-07 18:45:06.455,42.01,,30.64,74.16,23.77,,27.17,49.72
42,2026-01-07 18:45:06.651,42.01,,30.64,74.16,23.77,,27.17,49.72
43,2026-01-07 18:45:06.848,44.68,,31.06,73.62,24.36,,23.98,47.82
44,2026-01-07 18:45:07.045,44.68,,31.06,73.62,24.36,,23.98,47.82
45,2026-01-07 18:45:07.237,44.68,,31.06,73.62,24.36,,23.98,47.82
46,2026-01-07 18:45:07.429,44.68,,31.06,73.62,24.36,,23.98,47.82
47,2026-01-07 18:45:07.622,44.68,,31.06,73.62,24.36,,23.98,47.82
48,2026-01-07 18:45:07.831,44.68,,31.06,73.62,24.36,,23.98,47.82
49,2026-01-07 18:45:08.043,45.85,,28.26,76.54,24.72,,23.69,51.14
50,2026-01-07 18:45:08.240,45.85,,28.26,76.54,24.72,,23.69,51.14
51,2026-01-07 18:45:08.434,45.85,,28.26,76.54,24.72,,23.69,51.14
52,2026-01-07 18:45:08.632,65.65,,47.50,76.54,64.43,,67.07,139.02
53,2026-01-07 18:45:08.828,75.23,,43.90,156.97,58.02,,64.90,177.28
54,2026-01-07 18:45:09.026,73.03,,54.88,138.87,54.74,,70.24,177.28
55,2026-01-07 18:45:09.226,68.20,,56.59,126.89,57.84,,72.34,175.44
56,2026-01-07 18:45:09.424,63.03,,54.87,117.25,57.84,,66.28,175.44
57,2026-01-07 18:45:09.620,60.89,,64.22,106.93,55.96,,69.42,155.30
58,2026-01-07 18:45:09.821,65.18,,70.72,98.47,86.47,,84.44,147.76
59,2026-01-07 18:45:10.018,81.48,,79.45,91.88,94.08,,81.91,147.76
60,2026-01-07 18:45:10.219,75.86,,82.57,90.72,96.86,,76.78,144.14
61,2026-01-07 18:45:10.420,71.02,,77.51,85.61,90.60,,72.31,133.18
62,2026-01-07 18:45:10.621,67.02,,80.02,81.06,92.38,,70.28,125.65
63,2026-01-07 18:45:10.821,67.02,,80.02,82.74,92.38,,70.28,123.64
64,2026-01-07 18:45:11.023,64.15,,79.02,79.31,88.78,,68.66,126.38
65,2026-01-07 18:45:11.223,61.74,,85.07,76.02,84.06,,65.82,118.94
66,2026-01-07 18:45:11.419,59.10,,89.17,73.16,86.40,,66.53,112.95
67,2026-01-07 18:45:11.618,58.87,,88.76,70.69,111.50,,66.55,110.72
68,2026-01-07 18:45:11.820,56.67,,85.56,70.69,105.55,,66.42,105.33
69,2026-01-07 18:45:12.016,54.34,,85.56,72.19,101.64,,67.52,105.67
70,2026-01-07 18:45:12.216,52.11,,83.75,68.99,96.82,,65.69,100.95
71,2026-01-07 18:45:12.413,50.43,,83.15,66.95,93.10,,66.94,96.46
72,2026-01-07 18:45:12.629,48.90,,82.17,64.61,90.47,,64.49,92.24
73,2026-01-07 18:45:12.828,47.38,,79.11,62.89,87.04,,62.67,88.70
74,2026-01-07 18:45:13.051,46.99,,80.87,60.99,83.96,,67.75,85.24
75,2026-01-07 18:45:13.253,46.99,,80.87,59.34,80.79,,65.83,82.72
76,2026-01-07 18:45:13.450,45.47,,78.14,57.66,78.08,,64.14,80.05
77,2026-01-07 18:45:13.651,44.18,,75.91,56.26,76.04,,62.71,78.15
78,2026-01-07 18:45:13.858,42.86,,73.40,54.68,73.47,,60.87,75.68
79,2026-01-07 18:45:14.057,41.36,,72.93,51.84,73.97,,60.71,73.81
80,2026-01-07 18:45:14.256,40.19,,70.51,50.48,72.59,,59.94,71.51
81,2026-01-07 18:45:14.457,39.09,,68.30,50.48,70.23,,67.74,69.39
82,2026-01-07 18:45:14.655,34.96,,64.81,49.36,63.92,,61.32,51.76
83,2026-01-07 18:45:14.853,31.21,,64.06,32.19,63.03,,60.41,38.66
84,2026-01-07 18:45:15.049,29.30,,60.33,31.09,61.87,,57.42,37.79
85,2026-01-07 18:45:15.250,28.73,,60.11,30.37,60.67,,56.82,38.36
86,2026-01-07 18:45:15.449,27.97,,58.82,28.86,58.80,,56.23,37.70
87,2026-01-07 18:45:15.647,26.62,,54.40,28.12,57.55,,53.54,36.99
88,2026-01-07 18:45:15.845,23.38,,50.23,27.72,47.48,,47.01,34.14
89,2026-01-07 18:45:16.045,15.51,,44.67,27.15,42.36,57.05,45.35,33.42
90,2026-01-07 18:45:16.250,15.08,,41.06,24.93,39.52,31.77,46.06,30.46
91,2026-01-07 18:45:16.451,14.71,,40.61,24.46,39.95,31.77,46.91,30.02
92,2026-01-07 18:45:16.651,14.31,,36.99,24.24,37.18,23.02,46.95,29.10
93,2026-01-07 18:45:16.855,14.09,,35.99,21.01,37.18,19.88,46.95,26.31
94,2026-01-07 18:45:17.060,13.44,,34.03,20.96,36.85,24.00,46.92,21.47
95,2026-01-07 18:45:17.260,12.75,,28.26,20.64,37.43,20.93,47.79,21.41
96,2026-01-07 18:45:17.466,12.34,,23.55,20.50,33.88,22.16,46.51,20.96
97,2026-01-07 18:45:17.666,11.59,17.52,22.78,23.33,16.92,29.74,45.89,22.89
98,2026-01-07 18:45:17.877,11.11,17.52,22.02,22.99,16.69,27.72,43.55,22.82
99,2026-01-07 18:45:18.084,10.98,17.52,21.55,22.82,15.27,25.87,40.18,22.84
100,2026-01-07 18:45:18.286,10.84,17.52,20.07,22.63,14.97,24.85,39.25,22.39
101,2026-01-07 18:45:18.483,10.51,17.52,17.99,22.30,14.43,24.10,35.78,22.51
102,2026-01-07 18:45:18.684,10.12,17.52,16.14,22.35,12.95,24.10,35.58,22.82
103,2026-01-07 18:45:18.887,9.90,17.52,15.85,21.78,12.42,24.10,34.92,22.56
104,2026-01-07 18:45:19.087,8.84,17.52,12.37,21.48,11.85,24.10,27.62,22.47
105,2026-01-07 18:45:19.290,8.89,17.52,12.28,21.08,13.07,24.10,28.34,22.06
106,2026-01-07 18:45:19.491,8.84,17.52,12.14,20.78,12.79,24.10,29.01,21.74
107,2026-01-07 18:45:19.692,8.65,17.52,11.75,20.38,12.10,24.10,28.90,21.01
108,2026-01-07 18:45:19.890,8.57,17.52,11.97,20.34,12.05,24.10,29.98,20.89
109,2026-01-07 18:45:20.091,8.73,17.52,12.02,20.73,10.96,24.10,30.08,21.12
110,2026-01-07 18:45:20.293,8.88,17.52,12.10,20.64,9.79,24.10,28.85,21.37
111,2026-01-07 18:45:20.495,10.25,17.52,13.02,20.41,10.17,24.10,16.98,21.37
112,2026-01-07 18:45:20.702,10.23,17.52,13.31,20.35,10.26,24.10,17.02,21.41
113,2026-01-07 18:45:20.901,10.35,17.52,13.63,20.32,10.39,24.10,16.36,21.40
114,2026-01-07 18:45:21.100,10.60,17.52,13.77,20.28,10.62,24.10,16.73,21.40
115,2026-01-07 18:45:21.300,10.58,17.52,13.35,20.22,10.61,24.10,16.37,19.29
116,2026-01-07 18:45:21.504,10.52,17.52,13.49,20.39,10.80,24.10,16.53,19.30
117,2026-01-07 18:45:21.700,10.57,17.52,13.65,21.02,10.98,24.10,16.90,19.30
118,2026-01-07 18:45:21.904,10.61,17.52,13.97,20.83,13.68,24.10,16.95,19.53
119,2026-01-07 18:45:22.104,10.71,17.52,14.32,20.69,14.17,21.10,17.14,19.67
120,2026-01-07 18:45:22.306,11.10,17.52,14.59,20.66,13.98,22.57,18.32,19.24
121,2026-01-07 18:45:22.503,11.64,17.52,14.90,21.77,14.18,22.57,18.20,19.04
122,2026-01-07 18:45:22.703,11.68,17.52,14.84,21.70,14.21,24.46,18.19,18.88
123,2026-01-07 18:45:22.904,11.74,17.52,14.91,21.59,14.39,26.21,18.06,18.75
124,2026-01-07 18:45:23.104,11.80,17.52,14.91,21.13,14.35,24.17,17.98,18.76
125,2026-01-07 18:45:23.303,11.86,17.52,15.25,21.21,15.03,27.27,18.35,18.57
126,2026-01-07 18:45:23.502,11.93,17.52,15.24,22.07,14.97,26.82,18.68,18.59
127,2026-01-07 18:45:23.700,11.96,,15.30,19.39,16.18,12.81,19.99,16.21
128,2026-01-07 18:45:23.895,12.07,,15.28,19.43,16.21,13.25,20.21,16.09
129,2026-01-07 18:45:24.092,12.09,,15.38,19.71,16.46,15.23,20.64,15.77
130,2026-01-07 18:45:24.289,12.13,,15.41,20.19,16.91,15.87,23.93,15.99
131,2026-01-07 18:45:24.488,12.19,,15.39,19.92,16.81,,24.11,15.75
132,2026-01-07 18:45:24.686,12.34,,15.45,19.57,17.11,,24.36,15.39
133,2026-01-07 18:45:24.884,12.41,,15.57,21.53,17.48,,24.68,15.48
134,2026-01-07 18:45:25.083,12.48,,15.46,21.61,17.61,,25.18,15.70
135,2026-01-07 18:45:25.279,12.48,,15.52,21.70,16.95,,24.33,15.70
136,2026-01-07 18:45:25.488,12.54,,15.51,21.78,17.20,,23.69,16.06
137,2026-01-07 18:45:25.689,12.90,,15.74,21.88,17.44,,23.45,16.13
138,2026-01-07 18:45:25.888,13.30,,15.55,21.84,17.89,,23.64,16.36
139,2026-01-07 18:45:26.097,13.61,,15.88,21.51,17.82,,24.31,16.31
140,2026-01-07 18:45:26.308,13.61,,15.91,21.56,17.84,,24.39,16.42
141,2026-01-07 18:45:26.504,12.43,,15.31,21.60,17.72,,24.71,16.48
142,2026-01-07 18:45:26.701,12.57,,15.12,21.80,17.89,,24.82,17.02
143,2026-01-07 18:45:26.898,12.49,,15.25,22.06,17.96,,24.75,17.27
144,2026-01-07 18:45:27.095,12.31,,15.32,22.20,17.97,,25.13,17.62
145,2026-01-07 18:45:27.305,12.50,,16.00,22.26,18.18,,25.46,17.76
146,2026-01-07 18:45:27.503,12.52,,15.95,22.21,17.94,,25.11,17.85
147,2026-01-07 18:45:27.702,12.54,,15.86,21.91,17.88,,25.22,18.18
148,2026-01-07 18:45:27.894,12.57,,15.58,22.07,16.17,,25.54,18.11
149,2026-01-07 18:45:28.103,12.55,,15.36,22.26,16.13,,25.85,18.22
150,2026-01-07 18:45:28.302,12.24,,14.90,22.54,16.37,,25.25,18.55
151,2026-01-07 18:45:28.503,11.77,,14.63,21.53,16.27,,25.54,18.87
152,2026-01-07 18:45:28.701,11.87,,14.77,21.81,16.32,,25.47,19.12
153,2026-01-07 18:45:28.895,11.88,,14.75,21.87,16.22,,25.83,19.47
154,2026-01-07 18:45:29.089,11.92,,14.73,22.10,16.34,,26.24,19.92
155,2026-01-07 18:45:29.285,11.97,,14.46,21.98,15.58,,25.68,20.04
156,2026-01-07 18:45:29.486,12.02,,14.20,20.98,15.68,,25.11,20.08
157,2026-01-07 18:45:29.680,12.06,,14.30,20.86,14.15,,24.09,20.06
158,2026-01-07 18:45:29.891,12.06,,14.40,20.95,14.28,,23.89,20.09
159,2026-01-07 18:45:30.088,12.27,,14.30,20.64,14.30,,24.08,20.20
160,2026-01-07 18:45:30.284,12.30,,14.29,20.50,13.91,,21.13,20.28
161,2026-01-07 18:45:30.481,12.29,,14.30,20.54,14.09,,21.04,20.40
162,2026-01-07 18:45:30.679,12.23,,14.26,20.75,14.03,,21.14,20.52
163,2026-01-07 18:45:30.879,12.33,,14.17,19.00,13.82,,21.25,20.50
164,2026-01-07 18:45:31.080,12.36,,14.08,18.99,14.11,,21.04,20.34
165,2026-01-07 18:45:31.278,12.32,,14.03,19.08,13.62,,21.36,20.43
166,2026-01-07 18:45:31.480,12.23,,13.90,19.37,13.36,,21.40,20.75
167,2026-01-07 18:45:31.678,12.00,,13.55,19.39,12.85,,21.57,21.71
168,2026-01-07 18:45:31.877,11.79,,13.48,19.41,11.98,,20.54,21.52
169,2026-01-07 18:45:32.073,11.52,,13.05,19.45,12.04,,19.54,21.60
170,2026-01-07 18:45:32.270,11.63,,13.07,19.46,12.27,,19.88,21.47
171,2026-01-07 18:45:32.480,11.56,,13.15,19.47,12.34,,19.74,21.42
172,2026-01-07 18:45:32.697,11.68,,13.77,19.17,12.04,,20.00,20.96
173,2026-01-07 18:45:32.889,11.78,,13.84,18.95,11.98,,20.48,20.83
174,2026-01-07 18:45:33.086,11.98,,14.38,19.12,12.07,,19.85,20.65
175,2026-01-07 18:45:33.286,12.50,,14.80,19.09,10.88,,19.80,20.58
176,2026-01-07 18:45:33.482,14.54,,17.41,18.84,10.60,,20.16,20.40
177,2026-01-07 18:45:33.676,14.98,,18.62,18.57,,,19.76,20.18
178,2026-01-07 18:45:33.868,15.29,,19.50,18.41,,,19.20,20.13
179,2026-01-07 18:45:34.061,15.55,,20.31,18.38,,,18.68,20.07
180,2026-01-07 18:45:34.256,15.78,,21.47,18.03,,,17.85,19.87
181,2026-01-07 18:45:34.453,15.80,,21.92,18.00,,,17.07,19.66
182,2026-01-07 18:45:34.648,15.73,,22.18,17.60,,,17.24,19.30
183,2026-01-07 18:45:34.843,15.70,,22.36,17.66,,,17.24,19.01
184,2026-01-07 18:45:35.037,15.84,,22.98,17.47,,,15.49,18.60
185,2026-01-07 18:45:35.233,15.77,,23.26,17.42,,,16.21,18.46
186,2026-01-07 18:45:35.426,15.77,,23.96,17.32,,,17.39,18.38
187,2026-01-07 18:45:35.628,15.92,,24.77,17.30,,,17.07,18.45
188,2026-01-07 18:45:35.827,16.05,,25.14,17.26,,,19.96,18.30
189,2026-01-07 18:45:36.038,15.85,,25.58,17.20,,,13.54,18.18
190,2026-01-07 18:45:36.241,15.83,,25.79,16.99,,,13.54,18.17
191,2026-01-07 18:45:36.434,15.84,,26.01,17.14,,,,18.04
192,2026-01-07 18:45:36.625,15.85,,26.13,17.14,,,,18.04
193,2026-01-07 18:45:36.830,15.68,,26.20,17.20,,,,18.14
194,2026-01-07 18:45:37.025,15.63,,26.34,17.40,,,,18.26
195,2026-01-07 18:45:37.217,15.71,,26.37,17.28,,,,18.16
196,2026-01-07 18:45:37.408,15.99,,26.36,17.07,,,,17.68
197,2026-01-07 18:45:37.601,15.88,,26.37,17.16,,,,16.99
198,2026-01-07 18:45:37.794,15.70,,26.29,17.17,,,,17.04
199,2026-01-07 18:45:37.990,15.48,,26.30,17.10,,,,16.90
200,2026-01-07 18:45:38.180,15.16,,26.14,17.03,,,,16.84
201,2026-01-07 18:45:38.370,15.00,,25.78,17.04,,,,16.84
202,2026-01-07 18:45:38.561,14.74,,25.09,17.04,,,,17.00
203,2026-01-07 18:45:38.752,14.57,,24.65,17.05,,,,16.82
204,2026-01-07 18:45:38.943,14.31,,23.98,17.23,,,,17.24
205,2026-01-07 18:45:39.135,13.56,,22.76,17.25,,,,17.44
206,2026-01-07 18:45:39.327,11.47,,20.03,17.25,,,,17.59
207,2026-01-07 18:45:39.519,10.97,,18.70,17.20,,,,17.40
208,2026-01-07 18:45:39.713,10.56,,17.85,17.45,,,,17.73
209,2026-01-07 18:45:39.903,10.26,,17.03,17.33,,,,17.77
210,2026-01-07 18:45:40.093,9.97,,15.92,17.39,,,,17.71
211,2026-01-07 18:45:40.287,9.87,,15.38,17.41,,,,17.60
212,2026-01-07 18:45:40.482,9.81,,14.92,17.58,,,,17.55
213,2026-01-07 18:45:40.680,9.77,,14.67,17.67,,,,17.64
214,2026-01-07 18:45:40.873,9.56,,14.10,17.85,,,,17.68
215,2026-01-07 18:45:41.068,9.51,,13.82,17.93,,,,17.73
216,2026-01-07 18:45:41.261,9.40,,13.05,17.87,,,,17.70
217,2026-01-07 18:45:41.454,9.24,,12.03,18.28,,,,18.48
218,2026-01-07 18:45:41.649,9.11,,11.46,18.33,,,,18.52
219,2026-01-07 18:45:41.847,9.02,,11.08,18.46,,,,18.49
220,2026-01-07 18:45:42.051,9.01,,10.86,18.50,,,,18.37
221,2026-01-07 18:45:42.249,8.96,,10.58,18.36,,,,18.31
222,2026-01-07 18:45:42.448,8.91,,10.50,18.24,,,,18.48
223,2026-01-07 18:45:42.654,8.88,,10.47,18.01,,,,18.56
224,2026-01-07 18:45:42.851,8.88,,10.31,18.01,,,21.19,18.66
225,2026-01-07 18:45:43.064,8.80,,10.27,18.02,,,16.30,18.67
226,2026-01-07 18:45:43.266,8.56,,10.31,18.12,,,14.68,18.82
227,2026-01-07 18:45:43.469,8.60,,10.35,18.02,,,16.07,18.56
228,2026-01-07 18:45:43.670,8.64,,10.38,18.00,,,15.40,18.58
229,2026-01-07 18:45:43.878,8.70,,10.44,18.05,,,15.57,18.81
230,2026-01-07 18:45:44.087,8.72,,10.57,18.24,,,16.14,19.24
231,2026-01-07 18:45:44.288,8.76,,10.54,18.67,,,17.50,19.45
232,2026-01-07 18:45:44.484,8.78,,10.50,18.82,,,17.50,19.56
233,2026-01-07 18:45:44.682,8.84,,10.50,19.00,,,17.50,19.92
234,2026-01-07 18:45:44.881,8.87,,10.50,18.61,,,17.50,19.55
235,2026-01-07 18:45:45.074,8.90,,10.46,18.70,,,17.50,19.68
236,2026-01-07 18:45:45.270,8.96,,10.53,18.78,,,17.50,19.72
237,2026-01-07 18:45:45.465,9.05,,10.60,18.96,,,17.50,19.86
238,2026-01-07 18:45:45.661,9.20,,10.63,18.81,,,18.69,19.79
239,2026-01-07 18:45:45.859,9.31,,10.66,18.98,,,18.42,20.02
240,2026-01-07 18:45:46.074,9.44,,10.69,18.90,,,17.95,20.01
241,2026-01-07 18:45:46.275,9.53,,10.77,19.25,,,17.80,21.01
242,2026-01-07 18:45:46.494,9.61,,10.86,19.38,,,17.32,21.32
243,2026-01-07 18:45:46.704,9.67,,10.94,19.74,,,17.93,21.51
244,2026-01-07 18:45:46.906,9.73,,11.06,19.65,,,17.49,21.86
245,2026-01-07 18:45:47.107,9.79,,11.09,19.62,,,17.50,21.98
246,2026-01-07 18:45:47.300,9.89,,11.22,19.61,,,17.58,22.12
247,2026-01-07 18:45:47.492,9.95,,11.31,19.17,,,17.45,21.23
248,2026-01-07 18:45:47.685,9.98,,11.44,19.04,,,17.16,21.22
249,2026-01-07 18:45:47.880,10.02,,11.58,18.87,,,17.04,21.23
250,2026-01-07 18:45:48.075,10.04,,11.57,18.77,,,16.80,21.25
251,2026-01-07 18:45:48.269,10.05,,11.57,18.70,,,16.85,21.32
252,2026-01-07 18:45:48.461,10.11,,11.58,18.64,,,16.69,21.03
253,2026-01-07 18:45:48.656,10.26,,11.71,18.59,,,17.41,20.92
254,2026-01-07 18:45:48.850,10.31,,11.70,18.30,,,17.25,20.73
255,2026-01-07 18:45:49.043,10.37,,11.68,18.31,,,17.52,20.72
256,2026-01-07 18:45:49.237,10.39,,11.67,18.16,,,17.80,20.53
257,2026-01-07 18:45:49.428,10.39,,11.64,18.12,,,17.68,20.55
258,2026-01-07 18:45:49.626,10.36,,11.69,18.20,,,17.94,20.49
259,2026-01-07 18:45:49.833,10.32,,11.68,18.09,,,18.03,20.22
260,2026-01-07 18:45:50.037,10.38,,11.77,17.99,,,17.94,19.77
261,2026-01-07 18:45:50.231,10.38,,11.83,17.70,,,17.37,19.69
262,2026-01-07 18:45:50.431,10.42,,11.79,17.78,,,17.37,19.58
263,2026-01-07 18:45:50.626,10.52,,11.74,17.71,,,17.37,19.47
264,2026-01-07 18:45:50.818,10.51,,11.64,17.84,,,17.37,19.28
265,2026-01-07 18:45:51.011,10.68,,11.57,17.82,,,17.37,18.99
266,2026-01-07 18:45:51.206,10.62,,11.51,17.77,,,17.37,18.85
267,2026-01-07 18:45:51.405,10.87,,11.47,17.60,,,17.37,18.88
268,2026-01-07 18:45:51.598,11.14,,11.41,17.56,,,16.65,18.60
269,2026-01-07 18:45:51.795,11.35,,11.33,17.38,,,16.70,18.29
270,2026-01-07 18:45:51.990,11.41,,11.69,17.44,,,16.96,18.42
271,2026-01-07 18:45:52.191,11.70,,12.48,16.97,,,17.02,17.53
272,2026-01-07 18:45:52.387,12.76,,13.99,16.63,,,17.53,17.50
273,2026-01-07 18:45:52.584,12.93,,15.41,16.06,,,16.70,17.55
274,2026-01-07 18:45:52.801,12.98,,17.16,15.86,,,17.29,17.07
275,2026-01-07 18:45:52.997,13.10,,17.37,15.82,,,17.24,16.93
276,2026-01-07 18:45:53.192,14.05,,17.53,15.88,,,17.02,16.97
277,2026-01-07 18:45:53.392,15.21,,18.79,15.88,,,17.31,16.97
278,2026-01-07 18:45:53.590,15.32,,18.99,16.59,,,18.39,16.87
279,2026-01-07 18:45:53.787,15.43,,19.44,17.44,,,19.31,16.82
280,2026-01-07 18:45:53.989,16.11,,20.55,17.92,,,21.69,16.67
281,2026-01-07 18:45:54.181,16.83,,21.47,18.03,,,23.59,16.89
282,2026-01-07 18:45:54.377,17.07,,21.83,18.00,,,34.02,16.73
283,2026-01-07 18:45:54.576,16.89,,21.51,17.98,,,,16.62
284,2026-01-07 18:45:54.770,17.13,,21.52,17.94,,,,16.48
285,2026-01-07 18:45:54.965,17.38,16.23,21.81,17.80,,15.75,,16.32
286,2026-01-07 18:45:55.163,17.70,12.70,22.89,17.91,,10.68,,16.19
287,2026-01-07 18:45:55.358,18.07,10.86,23.11,17.92,,9.27,,16.27
288,2026-01-07 18:45:55.556,18.50,10.66,22.93,17.73,,13.76,,16.18
289,2026-01-07 18:45:55.755,18.97,10.63,22.91,17.66,,12.74,,16.12
290,2026-01-07 18:45:55.954,19.38,10.39,22.77,17.47,,12.74,,16.08
291,2026-01-07 18:45:56.149,19.91,9.70,22.97,17.19,,12.74,,15.88
292,2026-01-07 18:45:56.345,40.85,9.22,23.13,16.80,,12.74,,15.48
293,2026-01-07 18:45:56.537,42.67,9.34,23.00,16.68,,12.74,,15.34
294,2026-01-07 18:45:56.735,44.03,8.95,23.25,16.30,,11.84,,15.17
295,2026-01-07 18:45:56.931,44.38,8.67,23.30,15.99,,11.05,,14.99
296,2026-01-07 18:45:57.129,45.34,8.37,23.78,15.78,,10.47,,26.21
297,2026-01-07 18:45:57.329,45.19,8.27,24.94,15.56,,10.32,,34.41
298,2026-01-07 18:45:57.532,44.43,8.32,24.83,15.37,,10.14,,39.19
299,2026-01-07 18:45:57.731,43.74,8.44,24.67,15.44,,9.91,,39.02
300,2026-01-07 18:45:57.929,43.65,8.50,24.10,15.36,,9.69,,45.35
301,2026-01-07 18:45:58.153,42.91,8.49,23.24,16.70,,9.49,,45.12
302,2026-01-07 18:45:58.353,40.93,8.40,21.35,18.10,,9.36,,44.84
303,2026-01-07 18:45:58.553,40.35,8.40,19.66,18.24,,9.58,,55.66
304,2026-01-07 18:45:58.753,40.44,12.92,17.39,21.24,,9.66,,55.65
305,2026-01-07 18:45:58.951,39.26,12.92,17.24,21.45,,9.66,,57.02
306,2026-01-07 18:45:59.150,37.86,21.30,16.94,27.89,,9.65,,58.09
307,2026-01-07 18:45:59.355,38.16,20.62,16.83,28.40,,9.56,,59.90
308,2026-01-07 18:45:59.551,36.56,19.99,16.43,28.10,,9.48,,62.25
309,2026-01-07 18:45:59.746,36.21,19.45,15.71,26.82,,9.35,,64.71
310,2026-01-07 18:45:59.942,35.40,18.93,14.52,26.74,,9.26,,86.97
311,2026-01-07 18:46:00.139,34.29,18.47,13.56,26.37,,9.14,,86.53
312,2026-01-07 18:46:00.343,32.94,18.06,13.34,26.11,,8.97,,86.49
313,2026-01-07 18:46:00.537,32.77,18.06,13.30,33.43,,8.82,,86.29
314,2026-01-07 18:46:00.736,32.11,17.67,13.53,34.39,,8.69,,86.19
315,2026-01-07 18:46:00.933,31.51,17.29,17.42,34.91,,8.28,,87.62
316,2026-01-07 18:46:01.131,30.50,17.15,16.40,43.34,,8.26,,90.34
317,2026-01-07 18:46:01.325,29.80,17.09,17.78,43.04,,8.22,,89.97
318,2026-01-07 18:46:01.526,28.98,16.96,17.77,42.93,,7.50,,91.03
319,2026-01-07 18:46:01.734,28.25,16.94,17.80,42.79,,7.63,,94.17
320,2026-01-07 18:46:01.936,27.46,16.82,17.69,42.63,,7.65,,94.05
321,2026-01-07 18:46:02.141,26.72,16.82,17.27,47.79,,7.55,,117.17
322,2026-01-07 18:46:02.337,13.64,16.82,17.19,49.53,,7.70,,121.13
323,2026-01-07 18:46:02.530,12.20,16.67,17.27,52.39,,7.84,,122.94
324,2026-01-07 18:46:02.729,11.31,16.70,16.91,55.22,,7.76,,124.53
325,2026-01-07 18:46:02.925,10.87,16.71,16.92,57.54,,7.86,,126.46
326,2026-01-07 18:46:03.123,10.23,16.78,16.46,59.97,,7.94,,113.72
327,2026-01-07 18:46:03.318,9.85,16.76,15.24,62.65,,7.86,,118.29
